full_name,rating,price,version,date
oyarzabal,88,0.0,LaLiga POTM,2020-12-23 03:27
mitchell van bergen,84,0.0,Squad Foundations,2020-12-23 03:27
kylian mbappe,90,0.0,,2020-12-23 03:27
erling haaland,84,0.0,,2020-12-23 03:27
joshua king,84,0.0,Squad Foundations,2020-12-23 03:27
florent mollet,86,0.0,League Player Obj.,2020-12-23 03:27
joaquin correa,86,0.0,UCL Live,2020-12-23 03:27
timo baumgartl,83,0.0,Squad Foundations,2020-12-23 03:27
steven bergwijn,83,0.0,,2020-12-23 03:27
rodrygo silva de goes,83,0.0,Record Breaker,2020-12-23 03:27
iago aspas,86,0.0,Objectives,2020-12-23 03:27
alessio romagnoli,86,0.0,Objectives,2020-12-23 03:27
gerard deulofeu lazaro,86,0.0,League Player,2020-12-23 03:27
nick lima,83,0.0,Squad Foundations,2020-12-23 03:27
kingsley coman,86,0.0,TOTGS,2020-12-23 03:27
david beckham,86,0.0,Beckham Special,2020-12-23 03:27
kevin volland,86,0.0,FUT Freeze Obj,2020-12-23 03:27
allan saint-maximin,86,0.0,FUT Freeze,2020-12-23 03:27
callejon jose,84,0.0,Rare,2020-12-23 03:27
thomas partey,84,0.0,CL,2020-12-23 03:27
douglas costa,84,0.0,CL,2020-12-23 03:27
franck yannick kessie,84,0.0,UEL Live,2020-12-23 03:27
nordi mukiele,84,0.0,Halloween Objective,2020-12-23 03:27
inaki williams,84,0.0,Halloween SBC,2020-12-23 03:27
bojan,84,0.0,Squad Foundations,2020-12-23 03:27
ander capa rodriguez,85,0.0,FUT Freeze,2020-12-23 03:27
thiago,85,0.0,Rare,2020-12-23 03:27
jules kounde,84,0.0,UCL Live Obj.,2020-12-23 03:27
hector bellerin moruno,85,0.0,Obj League Player,2020-12-23 03:27
arturo vidal,83,0.0,Rare,2020-12-23 03:27
gonzalo higuain,83,0.0,Rare,2020-12-23 03:27
ronaldo,96,0.0,Icon,2020-12-23 03:27
alphonse areola,82,0.0,Rare,2020-12-23 03:27
nelson semedo,83,0.0,Rare,2020-12-23 03:27
gareth bale,83,0.0,Rare,2020-12-23 03:27
marcel sabitzer,85,0.0,Objectives,2020-12-23 03:27
alexandre lacazette,85,0.0,Objectives,2020-12-23 03:27
diogo jota,83,0.0,OTW Objective,2020-12-23 03:27
luis suarez,87,0.0,Rare,2020-12-23 03:27
paolo maldini,94,0.0,Icon,2020-12-23 03:27
mauro icardi,85,0.0,Rare,2020-12-23 03:27
diego godin,85,0.0,Rare,2020-12-23 03:27
lorenzo insigne,85,0.0,Rare,2020-12-23 03:27
frank rijkaard,90,0.0,Icon,2020-12-23 03:27
ronald koeman,91,0.0,Icon,2020-12-23 03:27
alex telles,84,0.0,CL,2020-12-23 03:27
bernat,85,0.0,Objectives,2020-12-23 03:27
marcos acuna,83,0.0,Rare,2020-12-23 03:27
mauro icardi,85,0.0,CL,2020-12-23 03:27
marquinhos,85,0.0,CL,2020-12-23 03:27
george best,93,0.0,Icon,2020-12-23 03:27
karim bellarabi,85,0.0,Halloween SBC,2020-12-23 03:27
naby keïta,85,0.0,Objectives,2020-12-23 03:27
trent alexander-arnold,87,0.0,,2020-12-23 03:27
yannick bolasie,85,0.0,FUT Freeze Obj,2020-12-23 03:27
jonathan bamba,86,1.0,Ligue,2020-12-23 03:27
ibrahima niane,84,1.0,Ligue,2020-12-23 03:27
mattia perin,82,750.0,Rare,2020-12-23 03:27
sergio asenjo andres,82,750.0,Rare,2020-12-23 03:27
fernando muslera,82,800.0,Rare,2020-12-23 03:27
mike maignan,82,800.0,Rare,2020-12-23 03:27
marko arnautovic,82,800.0,Rare,2020-12-23 03:27
anderson talisca,82,800.0,Rare,2020-12-23 03:27
oliver baumann,82,800.0,Rare,2020-12-23 03:27
gianluigi buffon,82,800.0,Rare,2020-12-23 03:27
mario figueira fernandes,82,800.0,Rare,2020-12-23 03:27
dimitri payet,82,800.0,Rare,2020-12-23 03:27
mesut ozil,82,850.0,Rare,2020-12-23 03:27
andrej kramaric,82,850.0,Rare,2020-12-23 03:27
aaron ramsey,82,850.0,Rare,2020-12-23 03:27
james rodriguez,82,850.0,Rare,2020-12-23 03:27
quincy promes,82,900.0,Rare,2020-12-23 03:27
lars bender,82,900.0,Rare,2020-12-23 03:27
marco asensio,82,900.0,Rare,2020-12-23 03:27
ivan rakitic,82,900.0,Rare,2020-12-23 03:27
ivan perisic,82,900.0,Rare,2020-12-23 03:27
yannick carrasco,82,900.0,Rare,2020-12-23 03:27
giovani lo celso,82,1000.0,Rare,2020-12-23 03:27
sergio canales madrazo,82,1100.0,Rare,2020-12-23 03:27
emre can,82,1100.0,Rare,2020-12-23 03:27
nicolas pepe,82,1100.0,Rare,2020-12-23 03:27
norberto murara neto,82,1200.0,Rare,2020-12-23 03:27
thomas strakosha,83,1200.0,Rare,2020-12-23 03:27
daley blind,82,1200.0,Rare,2020-12-23 03:27
jerôme boateng,82,1300.0,Rare,2020-12-23 03:27
aleksandar kolarov,82,1300.0,Rare,2020-12-23 03:27
marcos llorente,82,1300.0,Rare,2020-12-23 03:27
willian borges da silva,82,1400.0,Rare,2020-12-23 03:27
martin dubravka,83,1400.0,Rare,2020-12-23 03:27
lukas hradeckc,83,1400.0,Rare,2020-12-23 03:27
lopes,83,1400.0,Rare,2020-12-23 03:27
thomas strakosha,83,1400.0,CL,2020-12-23 03:27
oscar dos santos emboaba,83,1400.0,Rare,2020-12-23 03:27
pau lopez sabata,83,1400.0,Rare,2020-12-23 03:27
edin dzeko,83,1500.0,Rare,2020-12-23 03:27
carlos vela,83,1500.0,Rare,2020-12-23 03:27
charles aranguiz,83,1500.0,Rare,2020-12-23 03:27
kevin trapp,83,1500.0,Rare,2020-12-23 03:27
aitor fernandez,83,1500.0,Rare,2020-12-23 03:27
dusan tadic,83,1500.0,Rare,2020-12-23 03:27
steve mandanda,83,1500.0,Rare,2020-12-23 03:27
ever banega,83,1500.0,Rare,2020-12-23 03:27
edin visca,83,1500.0,Rare,2020-12-23 03:27
koen casteels,83,1500.0,Rare,2020-12-23 03:27
steve mandanda,83,1500.0,CL,2020-12-23 03:27
edin visca,83,1500.0,CL,2020-12-23 03:27
zlatan ibrahimovic,83,1600.0,Rare,2020-12-23 03:27
dusan tadic,83,1600.0,CL,2020-12-23 03:27
rafa,83,1600.0,Rare,2020-12-23 03:27
filip kostic,83,1600.0,Rare,2020-12-23 03:27
duvan zapata,83,1700.0,CL,2020-12-23 03:27
martin odegaard,83,1700.0,Rare,2020-12-23 03:27
duvan zapata,83,1700.0,Rare,2020-12-23 03:27
paulinho,83,1700.0,Rare,2020-12-23 03:27
blaise matuidi,83,1700.0,Rare,2020-12-23 03:27
renato augusto,83,1700.0,Rare,2020-12-23 03:27
martin odegaard,83,1800.0,CL,2020-12-23 03:27
nabil fekir,83,1800.0,Rare,2020-12-23 03:27
donny van de beek,83,1800.0,Rare,2020-12-23 03:27
mateo kovacic,83,1900.0,Rare,2020-12-23 03:27
mateo kovacic,83,1900.0,CL,2020-12-23 03:27
joao moutinho,83,1900.0,Rare,2020-12-23 03:27
donny van de beek,83,1900.0,CL,2020-12-23 03:27
marcos acuna,83,2000.0,CL,2020-12-23 03:27
coutinho,83,2000.0,Rare,2020-12-23 03:27
jan vertonghen,83,2000.0,Rare,2020-12-23 03:27
fernando reges,83,2100.0,CL,2020-12-23 03:27
luiz frello filho jorge,83,2100.0,CL,2020-12-23 03:27
fernando reges,83,2100.0,Rare,2020-12-23 03:27
luiz frello filho jorge,83,2100.0,Rare,2020-12-23 03:27
ilkay gundogan,83,2200.0,Rare,2020-12-23 03:27
kieran trippier,83,2200.0,Rare,2020-12-23 03:27
coutinho,83,2200.0,CL,2020-12-23 03:27
ilkay gundogan,83,2200.0,CL,2020-12-23 03:27
thorgan hazard,83,2300.0,CL,2020-12-23 03:27
radja nainggolan,83,2300.0,CL,2020-12-23 03:27
dele alli,83,2300.0,Rare,2020-12-23 03:27
thorgan hazard,83,2300.0,Rare,2020-12-23 03:27
denis zakaria,83,2300.0,Rare,2020-12-23 03:27
radja nainggolan,83,2300.0,Rare,2020-12-23 03:27
marcel sabitzer,83,2400.0,Rare,2020-12-23 03:27
alexandre lacazette,83,2400.0,Rare,2020-12-23 03:27
jose luis gaya pena,83,2400.0,Rare,2020-12-23 03:27
yuri berchiche izeta,83,2400.0,Rare,2020-12-23 03:27
iker muniain goni,83,2400.0,Rare,2020-12-23 03:27
achraf hakimi,83,2500.0,CL,2020-12-23 03:27
achraf hakimi,83,2500.0,Rare,2020-12-23 03:27
kostas manolas,83,2500.0,Rare,2020-12-23 03:27
denis zakaria,83,2500.0,CL,2020-12-23 03:27
marcel sabitzer,83,2600.0,CL,2020-12-23 03:27
marcelo,83,2600.0,Rare,2020-12-23 03:27
allan marques loureiro,83,2700.0,Rare,2020-12-23 03:27
sergi roberto carnicer,83,2900.0,Rare,2020-12-23 03:27
steven bergwijn,83,2900.0,Rare,2020-12-23 03:27
aaron wan-bissaka,83,3000.0,Rare,2020-12-23 03:27
marcelo,83,3000.0,CL,2020-12-23 03:27
arturo vidal,83,3000.0,CL,2020-12-23 03:27
sergi roberto carnicer,83,3000.0,CL,2020-12-23 03:27
wilfried zaha,83,3200.0,Rare,2020-12-23 03:27
aaron wan-bissaka,83,3200.0,CL,2020-12-23 03:27
francesco acerbi,83,3300.0,Rare,2020-12-23 03:27
francesco acerbi,83,3300.0,CL,2020-12-23 03:27
diego carlos santos silva,83,3400.0,Rare,2020-12-23 03:27
alessio romagnoli,83,3400.0,Rare,2020-12-23 03:27
joao cancelo,83,3400.0,Rare,2020-12-23 03:27
bernat,83,3400.0,Rare,2020-12-23 03:27
kieran trippier,83,3500.0,CL,2020-12-23 03:27
bernat,83,3500.0,CL,2020-12-23 03:27
joao cancelo,83,3500.0,CL,2020-12-23 03:27
samuel umtiti,83,3600.0,Rare,2020-12-23 03:27
cristian portugues manzanera,83,3600.0,Rare,2020-12-23 03:27
samuel umtiti,83,3700.0,CL,2020-12-23 03:27
gerard moreno balaguero,83,3900.0,Rare,2020-12-23 03:27
joel matip,83,4000.0,CL,2020-12-23 03:27
