full_name,rating,price,version,date
wilfred ndidi,84,4600.0,Rare,2020-11-25
grimaldo,84,4700.0,Rare,2020-11-25
andre onana,84,4700.0,Rare,2020-11-25
roman burki,84,4700.0,Rare,2020-11-25
roman burki,84,4700.0,CL,2020-11-25
andre onana,84,4800.0,CL,2020-11-25
kasper schmeichel,84,4800.0,Rare,2020-11-25
kingsley coman,84,4800.0,Rare,2020-11-25
guerreiro,84,4800.0,Rare,2020-11-25
jesus corona,84,4900.0,CL,2020-11-25
marcelo brozovic,84,4900.0,Rare,2020-11-25
nicolas tagliafico,84,4900.0,Rare,2020-11-25
jesus corona,84,4900.0,Rare,2020-11-25
nicolas tagliafico,84,4900.0,CL,2020-11-25
arthur henrique ramos oliveira melo,84,4900.0,Rare,2020-11-25
pizzi,84,4900.0,Rare,2020-11-25
marcelo brozovic,84,4900.0,CL,2020-11-25
arthur henrique ramos oliveira melo,84,4900.0,CL,2020-11-25
guerreiro,84,5000.0,CL,2020-11-25
axel witsel,84,5000.0,Rare,2020-11-25
raul jimenez,84,5000.0,Rare,2020-11-25
salvatore sirigu,84,5000.0,Rare,2020-11-25
axel witsel,84,5000.0,CL,2020-11-25
azpilicueta,84,5000.0,Rare,2020-11-25
rui patricio,84,5000.0,Rare,2020-11-25
julian brandt,84,5100.0,Rare,2020-11-25
jesus navas,84,5100.0,Rare,2020-11-25
julian brandt,84,5100.0,CL,2020-11-25
thomas partey,84,5100.0,Rare,2020-11-25
isco,84,5100.0,Rare,2020-11-25
stefan de vrij,84,5200.0,CL,2020-11-25
jose maria gimenez,84,5200.0,CL,2020-11-25
lucas digne,84,5200.0,Rare,2020-11-25
oyarzabal,84,5200.0,Rare,2020-11-25
azpilicueta,84,5200.0,CL,2020-11-25
stefan de vrij,84,5300.0,Rare,2020-11-25
jesus navas,84,5300.0,CL,2020-11-25
jose maria gimenez,84,5300.0,Rare,2020-11-25
kingsley coman,84,5300.0,CL,2020-11-25
felipe,84,5400.0,Rare,2020-11-25
saul niguez esclapez,84,5400.0,Rare,2020-11-25
felipe,84,5400.0,CL,2020-11-25
idrissa gueye,84,5400.0,Rare,2020-11-25
lucas pezzini leiva,84,5400.0,Rare,2020-11-25
lucas pezzini leiva,84,5400.0,CL,2020-11-25
idrissa gueye,84,5500.0,CL,2020-11-25
iago aspas,84,5500.0,Rare,2020-11-25
lautaro martinez,84,5600.0,Rare,2020-11-25
david alaba,84,5600.0,Rare,2020-11-25
niklas sule,84,5600.0,CL,2020-11-25
fernandinho,84,5600.0,Rare,2020-11-25
niklas sule,84,5700.0,Rare,2020-11-25
douglas costa,84,5700.0,Rare,2020-11-25
isco,84,5700.0,CL,2020-11-25
saul niguez esclapez,84,5800.0,CL,2020-11-25
fernandinho,84,5800.0,CL,2020-11-25
lautaro martinez,84,5800.0,CL,2020-11-25
josip ilicic,84,5900.0,Rare,2020-11-25
josip ilicic,84,6000.0,CL,2020-11-25
david alaba,84,6400.0,CL,2020-11-25
peter gulacsi,85,8100.0,Rare,2020-11-25
peter gulacsi,85,8200.0,CL,2020-11-25
miralem pjanic,85,8300.0,CL,2020-11-25
miralem pjanic,85,8500.0,Rare,2020-11-25
memphis depay,85,8500.0,Rare,2020-11-25
alex telles,84,8500.0,Rare,2020-11-25
leon goretzka,84,8600.0,Rare,2020-11-25
dries mertens,85,8600.0,Rare,2020-11-25
milan skriniar,85,8700.0,Rare,2020-11-25
parejo,85,8700.0,Rare,2020-11-25
