full_name,name
andres iniesta lujan,iniesta
ben chilwell,chilwell
james rodriguez,rodriguez
marcel halstenberg,halstenberg
dominic calvert-lewin,calvert-lewin
callejon jose,jose
alessandro florenzi,florenzi
thomas delaney,delaney
ibrahima niane,niane
marcos llorente,llorente
manuel lazzari,lazzari
nordi mukiele,mukiele
inaki williams,williams
anderson talisca,talisca
juan cuadrado,cuadrado
jason denayer,denayer
joão felix sequeira,felix
kevin volland,volland
fernando pacheco flores,pacheco
bojan,bojan
taison barcellos freda,barcellos
ivan perisic,perisic
alphonso davies,davies
moussa diaby,diaby
lukasz fabianski,fabianski
max kruse,kruse
ollie watkins,watkins
joaquin correa,correa
quincy promes,promes
felipe anderson pereira gomes,anderson
steve mandanda,mandanda
marcos acuna,acuna
joão cancelo,cancelo
marcelo,marcelo
ferland mendy,mendy
kieran trippier,trippier
aaron wan-bissaka,wan-bissaka
joel matip,matip
