full_name,name
naby keïta,keïta
hector bellerin moruno,bellerin
josip ilicic,ilicic
felipe,felipe
fernandinho,fernandinho
david alaba,alaba
stefan de vrij,de vrij
kingsley coman,coman
pizzi,pizzi
jesus navas,navas
azpilicueta,azpilicueta
nicolas tagliafico,tagliafico
alex telles,alex telles
lucas digne,digne
salvatore sirigu,sirigu
andre onana,onana
rui patricio,patricio
kasper schmeichel,schmeichel
roman burki,burki
idrissa gueye,gueye
lautaro martinez,martinez
marcelo brozovic,brozovic
julian brandt,brandt
raul jimenez,jimenez
niklas sule,sule
anthony martial,martial
lucas pezzini leiva,pezzini
saul niguez esclapez,niguez
arthur henrique ramos oliveira melo,henrique
walter benitez,benitez
andres iniesta lujan,iniesta
ben chilwell,chilwell
james rodriguez,rodriguez
marcel halstenberg,halstenberg
dominic calvert-lewin,calvert-lewin
callejon jose,jose
alessandro florenzi,florenzi
thomas delaney,delaney
ibrahima niane,niane
marcos llorente,llorente
manuel lazzari,lazzari
nordi mukiele,mukiele
inaki williams,williams
anderson talisca,anderson talisca
juan cuadrado,cuadrado
jason denayer,denayer
joao felix sequeira,joao felix
kevin volland,volland
fernando pacheco flores,pacheco
bojan,bojan
taison barcellos freda,barcellos
ivan perisic,perisic
alphonso davies,davies
moussa diaby,diaby
lukasz fabianski,fabianski
max kruse,kruse
ollie watkins,watkins
joaquin correa,correa
quincy promes,promes
felipe anderson pereira gomes,anderson
steve mandanda,mandanda
marcos acuna,acuna
joao cancelo,cancelo
marcelo,marcelo
ferland mendy,mendy
kieran trippier,trippier
aaron wan-bissaka,wan-bissaka
joel matip,matip
david beckham,beckham
mitchell van bergen,van bergen
nelson semedo,semedo
gonzalo higuain,higuain
gareth bale,bale
diogo jota,jota
denzel dumfries,dumfries
nick lima,lima
rodrygo silva de goes,silva
steven bergwijn,bergwijn
timo baumgartl,baumgartl
alphonse areola,areola
alvaro borja morata martin,alvaro morata
sergio reguilon rodriguez,reguilon
danilo pereira,luis
erling haaland,haaland
joshua king,king
gerard deulofeu lazaro,deulofeu
robert pires,pires
lothar matthaus,matthaus
geronimo rulli,rulli
sergio asenjo andres,sergio asenjo
kepa arrizabalaga,arrizabalaga
tomas vaclik,vaclik
jiři pavlenka,pavlenka
mattia perin,perin
mario figueira fernandes,figueira
fernando muslera,muslera
oliver baumann,baumann
gianluigi buffon,buffon
david soria solis,soria
mike maignan,maignan
marko arnautovic,arnautovic
dimitri payet,payet
mesut ozil,ozil
yannick carrasco,carrasco
robin gosens,gosens
giovani lo celso,lo celso
ruben diogo da silva neves,diogo
aaron ramsey,ramsey
lars bender,bender
agustin marchesin,marchesin
marco asensio,asensio
ivan rakitic,rakitic
florian thauvin,thauvin
sergio canales madrazo,canales
konrad laimer,laimer
nicolas pepe,pepe
emre can,emre can
angel correa,correa
aleksandar kolarov,kolarov
willian borges da silva,borges
gabriel armando de abreu,armando
dakonam djene,djene
rodrigo moreno machado,moreno
lukas hradeckc,hradeckc
thomas strakosha,strakosha
daley blind,blind
jerôme boateng,boateng
norberto murara neto,murara
harry maguire,maguire
matthias ginter,ginter
dusan tadic,tadic
martin dubravka,dubravka
aitor fernandez,fernandez
lucas hernandez,hernandez
pau lopez sabata,lopez
kevin trapp,trapp
edin dzeko,dzeko
ever banega,banega
nick pope,pope
edin visca,visca
filip kostic,kostic
carlos vela,vela
rafa,rafa
blaise matuidi,matuidi
duvan zapata,zapata
paulinho,paulinho
oscar dos santos emboaba,oscar
charles aranguiz,aranguiz
renato augusto,augusto
dele alli,dele alli
mateo kovacic,kovacic
nabil fekir,fekir
joao moutinho,moutinho
fernando reges,reges
luiz frello filho jorge,frello
donny van de beek,van
thorgan hazard,hazard
ilkay gundogan,gundogan
iker muniain goni,muniain
coutinho,coutinho
jose luis gaya pena,luis
jan vertonghen,vertonghen
yuri berchiche izeta,berchiche
kostas manolas,manolas
gerard moreno balaguero,moreno
raul albiol tortajada,albiol
samuel umtiti,umtiti
diego carlos santos silva,carlos
francesco acerbi,acerbi
allan marques loureiro,marques
fabian ruiz pena,ruiz
morata,morata
ousmane dembele,dembele
lucas,lucas moura
yusuf yazici,yazici
camilo vargas,vargas
enis bardhi,bardhi
hamari traore,traore
gylfi sigurðsson,sigurðsson
francesco caputo,caputo
victor osimhen,osimhen
youssef el arabi,el arabi
olivier giroud,giroud
domenico berardi,berardi
andre carrillo,carrillo
jose miguel da rocha fonte,miguel
pierre-emile hojbjerg,hojbjerg
nikola vlasic,vlasic
danny ings,ings
henrikh mkhitaryan,mkhitaryan
wout weghorst,weghorst
jack grealish,grealish
martin hinteregger,hinteregger
andrea belotti,belotti
angel luis rodriguez diaz,luis
joaquin sanchez rodriguez,sanchez
hakan calhanoglu,calhanoglu
benjamin mendy,mendy
hassane kamara,kamara
ter stegen,stegen
kunde malong,malong
daniel podence,podence
julian draxler,draxler
radamel falcao garcia zarate,falcao
mason mount,mount
cesc fabregas,fabregas
raphael dias belloli,dias
benjamin andre,andre
joao felix sequeira,felix
hector herrera,herrera
theo hernandez,hernandez
romain alessandrini,alessandrini
dayot upamecano,upamecano
renato sanches,sanches
patrick van aanholt,van aanholt
raphael varane,varane
alex teixeira dos santos,teixeira
allan saint-maximin,saint-maximin
lukas klostermann,klostermann
alex oxlade-chamberlain,oxlade-chamberlain
