name,starting_price,winner_bid,timestamp
Borja Iglesias,,800,11/16/20 20:12
Zhang Yuning,,300,11/16/20 20:12
Choi Jun Hyuk,,550,11/16/20 20:12
Engelhardt,,200,11/16/20 20:12
HUNTER,,1600,11/16/20 20:12
SHADOW,,3000,11/16/20 20:12
SHADOW,,2900,11/16/20 20:12
SHADOW,,2900,11/16/20 20:12
SHADOW,,2800,11/16/20 20:12
Trueman,,300,11/17/20 13:27
SHADOW,,3000,11/17/20 13:27
SHADOW,,2900,11/17/20 13:27
SHADOW,,3000,11/17/20 13:27
SHADOW,,2900,11/17/20 13:27
SHADOW,,2900,11/17/20 13:27
Cillessen,,850,11/17/20 15:51
Al Ruwaili,,300,11/20/20 2:13
Ngezana,300.0,450,2020-11-20 09:38:35
Mikołajewski,350.0,400,2020-11-20 09:38:35
CATALYST,350.0,400,2020-11-20 12:19:00
CATALYST,300.0,350,2020-11-20 12:19:00
CATALYST,300.0,400,2020-11-20 12:19:00
CATALYST,300.0,350,2020-11-20 12:19:00
CATALYST,300.0,350,2020-11-20 12:59:39
CATALYST,300.0,400,2020-11-20 12:59:39
Kuzdra,150.0,200,2020-11-20 14:23:10
CATALYST,350.0,400,2020-11-20 14:23:10
CATALYST,300.0,350,2020-11-20 14:23:10
CATALYST,300.0,350,2020-11-20 14:23:10
CATALYST,300.0,350,2020-11-20 14:23:10
CATALYST,400.0,400,2020-11-20 14:23:10
CATALYST,400.0,450,2020-11-20 14:23:10
SHADOW,2900.0,3000,2020-11-20 14:23:10
SHADOW,3500.0,3500,2020-11-20 14:23:10
Vollath,250.0,250,2020-11-20 15:28:31
CATALYST,350.0,400,2020-11-20 15:28:31
CATALYST,350.0,400,2020-11-20 17:36:56
SHADOW,2900.0,3200,2020-11-20 17:36:56
SHADOW,2900.0,2900,2020-11-20 17:36:56
P. Tworek,150.0,150,2020-11-20 21:05:46
CATALYST,350.0,400,2020-11-20 21:05:46
Colula,150.0,150,2020-11-20 23:50:02
CATALYST,300.0,350,2020-11-20 23:50:02
CATALYST,300.0,400,2020-11-20 23:50:02
SHADOW,2900.0,3000,2020-11-20 23:50:02
Koulibaly,38500.0,38500,2020-11-21 12:42:09
Kim Jin Su,350.0,400,2020-11-21 12:42:09
